令和 / ゴールデンボンバー
reiwa.mp3
142
-1.42
94.5
Master 7
2 1.05614 1.05614
3 1.05614 1.05614
1 1.90121 1.90121
2 2.11248 2.11248
3 2.32375 2.32375
4 2.53501 2.53501
3 2.74628 2.74628
2 2.95755 2.95755
1 3.16882 3.16882
6 4.85896 4.85896
7 4.85896 4.85896
5 5.70403 5.70403
6 5.9153 5.9153
7 6.12656 6.12656
8 6.33783 6.33783
3 6.5491 6.5491
2 6.76037 6.76037
1 6.97163 6.97163
4 7.39417 7.39417
3 7.4998 7.4998
4 7.60544 7.60544
3 7.71107 7.71107
4 7.8167 10.3519
1 8.66177 10.3519
2 9.50685 10.3519
3 9.50685 10.3519
4 11.197 11.197
1 11.4083 11.4083
4 11.6195 11.6195
2 11.7252 11.7252
4 11.9364 11.9364
1 12.0421 12.0421
4 12.2533 12.2533
2 12.359 12.359
4 12.5702 12.5702
1 12.6759 12.6759
3 13.0984 13.3097
2 13.3097 13.3097
4 13.4153 13.4153
1 13.6266 13.6266
3 13.7322 13.7322
2 13.9435 13.9435
4 14.0491 14.0491
1 14.2604 14.2604
3 14.366 14.366
6 14.7885 14.9998
7 14.9998 14.9998
5 15.1054 15.1054
8 15.3167 15.3167
6 15.4223 15.4223
7 15.6336 15.6336
5 15.7392 15.7392
8 15.9505 15.9505
6 16.0561 16.0561
6 16.4787 16.6899
8 16.6899 16.6899
5 16.7956 16.7956
7 17.0068 17.0068
6 17.1125 17.1125
8 17.3237 17.3237
5 17.4294 17.4294
7 17.6406 17.6406
6 17.7463 17.7463
4 18.1688 18.1688
4 18.3801 18.3801
4 18.697 18.697
4 18.9083 18.9083
4 19.2252 19.2252
4 19.4364 19.4364
4 19.859 19.859
4 20.0702 20.0702
4 20.3871 20.3871
4 20.5984 20.5984
4 20.9153 20.9153
4 21.1266 21.1266
4 21.5491 21.5491
4 21.7604 21.7604
4 22.0773 22.0773
4 22.2885 22.2885
4 22.6054 22.6054
4 22.8167 22.8167
4 23.028 24.7181
1 23.4505 24.7181
7 23.873 24.7181
6 24.2956 24.7181
2 24.9294 24.9294
3 25.1406 25.1406
4 25.2463 25.2463
2 25.4575 25.4575
3 25.6688 25.6688
4 25.7745 25.7745
2 25.9857 25.9857
3 26.197 26.197
4 26.197 26.197
2 26.6195 26.6195
3 26.8308 26.8308
4 26.9364 26.9364
2 27.1477 27.1477
3 27.359 27.359
4 27.4646 27.4646
2 27.6759 27.6759
3 27.8871 27.8871
4 27.8871 27.8871
8 28.3097 28.3097
7 28.5209 28.5209
6 28.6266 28.6266
8 28.8378 28.8378
7 29.0491 29.0491
6 29.1547 29.1547
8 29.366 29.366
7 29.5773 29.5773
6 29.7885 31.4787
7 30.2111 31.4787
1 30.6336 31.4787
4 31.0561 31.4787
3 31.6899 31.6899
2 31.9012 31.9012
1 32.0068 32.0068
3 32.2181 32.2181
2 32.4294 32.4294
1 32.535 32.535
3 32.7463 32.7463
1 32.9575 32.9575
2 32.9575 32.9575
3 33.3801 33.3801
2 33.5914 33.5914
1 33.697 33.697
3 33.9083 33.9083
2 34.1195 34.1195
1 34.2252 34.2252
3 34.4364 34.4364
1 34.6477 34.6477
2 34.6477 34.6477
5 35.0702 35.0702
6 35.2815 35.2815
7 35.3871 35.3871
5 35.5984 35.5984
6 35.8097 35.8097
7 35.9153 35.9153
5 36.1266 36.1266
6 36.3378 36.3378
5 36.5491 38.2392
6 36.9716 38.2392
7 37.3942 38.2392
8 37.8167 38.2392
4 38.2392 38.2392
1 38.4505 38.4505
4 38.6618 38.6618
1 38.873 38.873
4 39.0843 39.0843
2 39.2956 39.2956
3 39.5068 39.5068
1 39.7181 39.7181
3 39.9294 39.9294
2 40.1406 40.1406
4 40.3519 40.3519
1 40.5632 40.5632
3 40.7745 40.7745
2 40.9857 40.9857
4 41.197 41.197
1 41.4083 41.4083
3 41.6195 41.6195
1 41.8308 41.8308
4 42.0421 42.0421
2 42.2533 42.2533
3 42.4646 42.4646
1 42.6759 42.6759
4 42.8871 42.8871
2 43.0984 43.0984
4 43.3097 43.3097
1 43.5209 43.5209
3 43.7322 43.7322
2 43.9435 43.9435
4 44.1547 44.1547
1 44.366 44.366
3 44.5773 44.5773
2 44.7885 44.7885
4 44.9998 44.9998
4 45.2111 45.2111
3 45.4223 45.4223
2 45.528 45.528
1 45.6336 45.6336
4 45.8449 45.8449
4 46.0561 46.0561
3 46.2674 46.2674
2 46.373 46.373
1 46.4787 46.4787
1 46.9012 46.9012
2 47.3237 47.3237
3 47.535 47.535
4 47.7463 47.7463
3 47.9575 47.9575
2 48.0632 48.0632
1 48.1688 48.1688
8 48.3801 48.3801
7 48.5914 48.5914
8 48.8026 48.8026
7 49.0139 49.0139
8 49.2252 49.2252
7 49.4364 49.4364
8 49.6477 49.6477
7 49.859 49.859
5 50.0702 50.0702
6 50.2815 50.2815
5 50.4928 50.4928
6 50.704 50.704
5 50.9153 50.9153
6 51.1266 51.1266
5 51.3378 51.3378
6 51.5491 51.5491
1 51.7604 51.7604
4 51.7604 51.7604
6 52.3942 52.3942
7 52.3942 52.3942
1 53.4505 53.4505
2 53.4505 53.4505
4 53.4505 53.4505
5 54.0843 54.0843
7 54.0843 54.0843
8 54.0843 54.0843
1 55.1406 55.1406
4 55.1406 55.1406
6 55.1406 55.1406
3 55.7745 55.7745
5 55.7745 55.7745
8 55.7745 55.7745
1 56.8308 56.8308
4 56.8308 56.8308
6 56.8308 56.8308
7 56.8308 56.8308
1 57.4646 57.4646
2 57.4646 57.4646
6 57.4646 57.4646
7 57.4646 57.4646
1 58.5209 58.5209
3 59.1547 59.1547
4 59.5773 59.5773
4 60.2111 60.2111
2 60.8449 60.8449
1 61.2674 61.2674
4 61.9012 61.9012
1 62.1125 62.1125
4 62.3237 62.3237
1 62.535 62.535
4 62.7463 62.7463
1 62.9575 62.9575
4 63.1688 63.1688
1 63.3801 63.3801
1 63.5914 65.0702
4 63.5914 65.0702
2 64.4364 65.0702
3 64.4364 65.0702
1 65.2815 65.2815
3 65.2815 65.2815
4 65.4928 65.4928
2 65.704 65.704
4 65.704 65.704
3 65.9153 65.9153
1 66.1266 66.1266
3 66.1266 66.1266
4 66.5491 66.5491
3 66.7604 66.7604
1 66.9716 66.9716
